Date,Time,Temp,Hygro,Baro,Geiger
,,,,,
Date,Time,Temp,Hygro,Baro,Geiger
,,,,,
2016-04-20,12:25:07,12.6,40.5,1029.4,1.7
Date,Time,Temp,Hygro,Baro,Geiger
,,,,,
2016-04-20,12:29:44,13.1,40.5,1029.4,3.3
2016-04-20,12:32:44,14.0,40.5,1027.4,4.0
Date,Time,Temp,Hygro,Baro,Geiger
,,,,,
Date,Time,Temp,Hygro,Baro,Geiger
,,,,,
Date,Time,Temp,Hygro,Baro,Geiger
,,,,,
